psgc_city_mun_name,psgc_province_name,wikipedia_city_mun_name,wikipedia_province_name
SAPI-AN,CAPIZ,SAPIAN,CAPIZ
PIGKAWAYAN,COTABATO,PIGCAWAYAN,COTABATO
SCIENCE CITY OF MUÑOZ,NUEVA ECIJA,MUÑOZ,NUEVA ECIJA
LEON T. POSTIGO,ZAMBOANGA DEL NORTE,LEON B. POSTIGO,ZAMBOANGA DEL NORTE
SERGIO OSMEÑA SR.,ZAMBOANGA DEL NORTE,SERGIO OSMEÑA,ZAMBOANGA DEL NORTE
PRES. MANUEL A. ROXAS,ZAMBOANGA DEL NORTE,ROXAS,ZAMBOANGA DEL NORTE
SAN JOSE,ANTIQUE,SAN JOSE DE BUENAVISTA,ANTIQUE
SEN. NINOY AQUINO,SULTAN KUDARAT,SENATOR NINOY AQUINO,SULTAN KUDARAT
CITY OF ISABELA,,ISABELA,BASILAN
CITY OF STO. TOMAS,BATANGAS,SANTO TOMAS,BATANGAS
IMPASUG-ONG,BUKIDNON,IMPASUGONG,BUKIDNON
GEN. MARIANO ALVAREZ,CAVITE,GENERAL MARIANO ALVAREZ,CAVITE
BULACAN,BULACAN,BULAKAN,BULACAN
ISLAND GARDEN CITY OF SAMAL,DAVAO DEL NORTE,SAMAL,DAVAO DEL NORTE
BALOI,LANAO DEL NORTE,BALO-I,LANAO DEL NORTE
PAGAGAWAN,MAGUINDANAO DEL SUR,DATU MONTAWAL,MAGUINDANAO DEL SUR
DATU SAUDI AMPATUAN,MAGUINDANAO DEL SUR,DATU SAUDI-AMPATUAN,MAGUINDANAO DEL SUR
GEN. S.K. PENDATUN,MAGUINDANAO DEL SUR,GENERAL SALIPADA K. PENDATUN,MAGUINDANAO DEL SUR
DR. JOSE P. RIZAL,PALAWAN,RIZAL,PALAWAN
STO. TOMAS,PAMPANGA,SANTO TOMAS,PAMPANGA
SALVADOR BENEDICTO,NEGROS OCCIDENTAL,DON SALVADOR BENEDICTO,NEGROS OCCIDENTAL
DON VICTORIANO CHIONGBIAN,MISAMIS OCCIDENTAL,DON VICTORIANO,MISAMIS OCCIDENTAL
JALA-JALA,RIZAL,JALAJALA,RIZAL
TONGKIL,SULU,BANGUINGUI,SULU
OLD PANAMAO,SULU,PANAMAO,SULU
PATEROS,,PATEROS,METRO MANILA
ALFONSO CASTANEDA,NUEVA VIZCAYA,ALFONSO CASTAÑEDA,NUEVA VIZCAYA
KADAYANGAN,,KADAYANGAN,COTABATO
LIGAWASAN,,LIGAWASAN,COTABATO
OLD KAABAKAN,,OLD KAABAKAN,COTABATO
TUGUNAN,,TUGUNAN,COTABATO
NABALAWAG,,NABALAWAG,COTABATO
PAHAMUDDIN,,PAHAMUDDIN,COTABATO
KAPALAWAN,,KAPALAWAN,COTABATO
MALIDEGAO,,MALIDEGAO,COTABATO
